"Date","Geo Port","Inflation"
"1972-03-23",13775.52,10974.59
"1972-03-24",13689.43,10975.44
"1972-03-27",13699.22,10978.01
"1972-03-28",13640.2,10978.87
"1972-03-29",13556.81,10979.72
"1972-03-30",13751.61,10980.58
"1972-04-03",13860.28,10984.08
"1972-04-04",13979.99,10984.97
"1972-04-05",14168.61,10985.85
"1972-04-06",14221.96,10986.74
"1972-04-07",14255.03,10987.62
"1972-04-10",14298.6,10990.27
"1972-04-11",14403.53,10991.16
"1972-04-12",14494.67,10992.04
"1972-04-13",14331.3,10992.93
"1972-04-14",14302.93,10993.81
"1972-04-17",14224.25,10996.46
"1972-04-18",14218.61,10997.35
"1972-04-19",14227.05,10998.23
"1972-04-20",14239.38,10999.12
"1972-04-21",14157.25,11000
"1972-04-24",14037.04,11002.65
"1972-04-25",13938.48,11003.54
"1972-04-26",13946.75,11004.42
"1972-04-27",13980.83,11005.31
"1972-04-28",14045.75,11006.19
"1972-05-01",13883.6,11008.81
"1972-05-02",13845.26,11009.67
"1972-05-03",13825.18,11010.52
"1972-05-04",13854.94,11011.38
"1972-05-05",13922.14,11012.24
"1972-05-08",13945.65,11014.8
"1972-05-09",13791.35,11015.66
"1972-05-10",13852.23,11016.51
"1972-05-11",13832.34,11017.37
"1972-05-12",13916.85,11018.23
"1972-05-15",13991.08,11020.79
"1972-05-16",14096.27,11021.65
"1972-05-17",14336.91,11022.5
"1972-05-18",14561.11,11023.36
"1972-05-19",14682.03,11024.21
"1972-05-22",14783.6,11026.78
"1972-05-23",14847.39,11027.64
"1972-05-24",14912.93,11028.49
"1972-05-25",14964.76,11029.35
"1972-05-26",15141.41,11030.2
"1972-05-30",15169.18,11033.63
"1972-05-31",15056.69,11034.48
"1972-06-01",15085.34,11035.37
"1972-06-02",15218.38,11036.25
"1972-06-05",15097.29,11038.9
"1972-06-06",15023.87,11039.79
"1972-06-07",15168.72,11040.67
"1972-06-08",15120.32,11041.56
"1972-06-09",14852.17,11042.44
"1972-06-12",14809.81,11045.09
"1972-06-13",14974.41,11045.98
"1972-06-14",14963.74,11046.86
"1972-06-15",14965.04,11047.75
"1972-06-16",14953.36,11048.63
"1972-06-19",14886.72,11051.28
"1972-06-20",14863.48,11052.17
"1972-06-21",14880,11053.05
"1972-06-22",14815.69,11053.93
"1972-06-23",14824.35,11054.82
"1972-06-26",14780.76,11057.47
"1972-06-27",14733.36,11058.36
"1972-06-28",14735.48,11059.24
"1972-06-29",14669.83,11060.12
"1972-06-30",14821.13,11061.01
"1972-07-03",15007.87,11066.14
"1972-07-05",15178.97,11069.56
"1972-07-06",15335.2,11071.28
"1972-07-07",15175.94,11072.99
"1972-07-10",15148.88,11078.12
"1972-07-11",15125.19,11079.83
"1972-07-12",15051.44,11081.54
"1972-07-13",14934.07,11083.25
"1972-07-14",15050.51,11084.97
"1972-07-17",14974.14,11090.1
"1972-07-18",14895.28,11091.81
"1972-07-19",14951.14,11093.52
"1972-07-20",14899.36,11095.23
